"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"1","M.VLDL.PL..",0.136933211306179,0.0282510223492499,0.0815407596121827,0.192325663000175,1.29097078949758e-06
"2","S.HDL.C",0.133111686552878,0.0279488815542459,0.0783122337511853,0.18791113935457,1.96401427599486e-06
"3","S.HDL.CE",0.12497536605694,0.0278412926517579,0.0703875999915023,0.179563132122377,7.32080259897285e-06
"4","Tyr",-0.121175637609205,0.0281569181401772,-0.176385938620137,-0.065965336598273,1.71255286793677e-05
"5","SFA.FA",-0.120736703809286,0.0283489882156507,-0.176320594395014,-0.0651528132235573,2.09146592085412e-05
"6","Ile",-0.115339399050742,0.0281465283807067,-0.17052792105765,-0.0601508770438335,4.23618860854225e-05
"7","XS.VLDL.PL..",0.109189405344787,0.0277423852103158,0.0547973140460159,0.163581496643558,8.40262158128058e-05
"8","Leu",-0.10633218748874,0.0280944425007144,-0.161419033145269,-0.0512453418322097,0.000155613022992292
"9","M.LDL.PL..",-0.103909075890916,0.0280470248285001,-0.158899956209453,-0.0489181955723799,0.000213817678616451
"10","VLDL.D",-0.101984929464207,0.028118195927848,-0.157117330684904,-0.0468525282435096,0.000289562369523604
"11","M.LDL.CE..",0.0987273766794677,0.0276739822618012,0.0444698500886123,0.152984903270323,0.000363741851483508
"12","S.VLDL.TG..",-0.100301167578954,0.0281924632957811,-0.155578846328188,-0.0450234888297213,0.000377518022061889
"13","S.HDL.C..",0.0990484643875811,0.0279027125050413,0.0443405428256891,0.153756385949473,0.000389078411813476
"14","S.HDL.CE..",0.0980679325820795,0.0278183618607179,0.0435257817363532,0.152610083427806,0.000426778577395094
"15","FAw6.FA",0.0985884279114077,0.0281063765472629,0.0434802492588829,0.153696606563933,0.000455971806224769
"16","M.HDL.FC..",0.0987468979755247,0.0283397668838614,0.0431786415189164,0.154315154432133,0.000497456306022208
"17","M.LDL.CE",0.0974093274300657,0.0280079361160715,0.0424952704785619,0.15232338438157,0.000509606997581554
"18","S.LDL.C..",0.0972788778474828,0.0280024861646957,0.0423761405677495,0.152181615127216,0.000517212330819002
"19","M.LDL.C..",0.0969111460011291,0.0279147819223399,0.0421801655670186,0.15164212643524,0.000521571000277042
"20","IDL.FC",0.0972609493069745,0.0280867135584894,0.0421930862776536,0.152328812336295,0.000538878015522546
"21","S.VLDL.C..",0.0966948394845398,0.0281228720610855,0.0415545517899957,0.151835127179084,0.000590124650891933
"22","M.VLDL.TG..",-0.0969250252601414,0.0282407937765531,-0.152296729054723,-0.0415533214655599,0.000603763277001827
"23","S.HDL.L",0.0963132044263927,0.0281585968188354,0.0411010789531646,0.151525329899621,0.000630303054777707
"24","PUFA.FA",0.0962200693877146,0.0281549106795537,0.0410162609818706,0.151423877793559,0.000636952529994544
"25","S.LDL.PL..",-0.0947205901908988,0.0281218944014338,-0.149858502562325,-0.0395826778194725,0.000762258866950105
"26","L.LDL.FC",0.0942031919478285,0.028087441202855,0.0391326781261959,0.149273705769461,0.000802625047923126
"27","S.LDL.CE..",0.0934218540095589,0.0278712273811362,0.0387775769978065,0.148066131021311,0.000808491764281985
"28","UnSat",0.0946544786817062,0.0282459910963764,0.0392714614595559,0.150037495903856,0.0008109196594418
"29","M.HDL.FC",0.0940782027339519,0.0282516009813247,0.0386845700963393,0.149471835371565,0.000874667709025804
"30","S.LDL.CE",0.0930581180921367,0.0280677882110338,0.0380268900613782,0.148089346122895,0.000921359825665674
"31","M.LDL.C",0.0930805579755698,0.0281032939740252,0.0379789355268513,0.148182180424288,0.000932571221380359
"32","Alb",0.0922302987989789,0.0281257741211187,0.0370840343646693,0.147376563233289,0.00104805651280974
"33","IDL.PL",0.0915733663434785,0.0281034986184616,0.0364713445676561,0.146675388119301,0.00112773779793696
"34","XS.VLDL.PL",0.091490808460355,0.0280968980904298,0.0364011007891157,0.146580516131594,0.0011363754790414
"35","S.VLDL.CE..",0.0915188562639121,0.0281509401915459,0.036323949123017,0.146713763404807,0.00115754385344218
"36","S.LDL.C",0.0907760118270372,0.0281338699495223,0.0356145676534209,0.145937456000654,0.0012608574994959
"37","M.VLDL.CE..",0.0907261993128919,0.0281355396189786,0.0355612934276256,0.145891105198158,0.00126948850368647
"38","S.HDL.P",0.0904419392997531,0.0281587299383489,0.0352294913591981,0.145654387240308,0.00132708509508965
"39","S.LDL.TG..",-0.0887971358300794,0.0281010170037537,-0.143894705510741,-0.033699566149418,0.00158746690614918
"40","Val",-0.0886887617049631,0.0282144155513929,-0.144011382303027,-0.0333661411068993,0.00167977600777459
"41","HDL3.C",0.0883466168550271,0.0282533701582656,0.0329498896923802,0.143743344017674,0.00177642224025773
"42","LDL.C",0.0875019208204486,0.0280435156947225,0.0325175919244281,0.142486249716469,0.00181738291833722
"43","XS.VLDL.FC",0.0869302063952987,0.0281085107791156,0.031818067687402,0.142042345103195,0.00199453663315237
"44","M.LDL.L",0.0869568650172458,0.0281442937842477,0.031774408729679,0.142139321304813,0.00201467582620547
"45","M.LDL.P",0.0864891484194772,0.0281493363009432,0.0312967467819701,0.141681550056984,0.00213402868119672
"46","XS.VLDL.TG..",-0.0861561050624085,0.0281235727583714,-0.141297866600937,-0.0310143435238795,0.00219932620621625
"47","IDL.FC..",0.0856635639925467,0.0280464420859911,0.0306768476338003,0.140650280351293,0.00226732011306783
"48","EstC",0.0856064814614146,0.028105317092162,0.0305007610273088,0.14071220189552,0.00233173172818051
"49","M.LDL.FC..",-0.0852222050131535,0.028128642662688,-0.14037398728199,-0.0300704227443166,0.00246017446872027
"50","M.LDL.FC",0.0852225487269574,0.0281551944422942,0.0300186879035,0.140426409550415,0.00248340383200787
"51","IDL.L",0.0844433290255344,0.0281006803758243,0.029346536943723,0.139540121107346,0.00266864571049206
"52","L.LDL.PL",0.0836829207391676,0.0281027321061888,0.0285819259162516,0.138783915562084,0.00291756394668354
"53","S.HDL.PL..",-0.0832196618046407,0.0280821905950508,-0.138280075900624,-0.0281592477086569,0.00305654909553577
"54","M.VLDL.C..",0.0828433580438406,0.0281932221846519,0.0275654707857659,0.138121245301915,0.00331393552855032
"55","IDL.P",0.08226640690167,0.0281147535297428,0.0271418122280974,0.137391001575243,0.00344781688920907
"56","L.LDL.L",0.0819246554014261,0.0281104189492071,0.0268086153850296,0.137040695417823,0.0035795774418518
"57","Serum.C",0.0814838850041299,0.0281199293899759,0.0263493801837184,0.136618389824541,0.00377499002016891
"58","TG.PG",-0.0815084008236185,0.0281704711378876,-0.136743290540417,-0.0262735111068196,0.00382734582579763
"59","L.LDL.C",0.0812658139523546,0.028099907994988,0.0261706343221664,0.136360993582543,0.003844000270897
"60","XL.HDL.PL..",0.0802592888501518,0.0278793633114141,0.0255987809734641,0.134919796726839,0.00400867384974297
"61","L.LDL.P",0.0808162755870184,0.0281175386847549,0.0256861548409781,0.135946396333059,0.00406710912068125
"62","S.LDL.FC",0.0806708747162665,0.0281788735346823,0.0254206230202552,0.135921126412278,0.00421635336453762
"63","S.LDL.L",0.080507019939891,0.0281666869676393,0.0252805932385671,0.135733446641215,0.0042775780792394
"64","HDL2.C",0.0792366604886807,0.028171959220004,0.0239990770032535,0.134474243974108,0.00493319054936963
"65","XS.VLDL.FC..",0.077686002979733,0.0277148639218653,0.0233482559445316,0.132023750014934,0.00508162794877741
"66","HDL.C",0.0790668336355095,0.0282090215023508,0.0237565554873144,0.134377111783705,0.00508403491864868
"67","M.HDL.PL",0.07883692859465,0.028235048197769,0.0234763300713512,0.134197527117949,0.00525541104933276
"68","IDL.C",0.0784247629740971,0.0281131380001797,0.0233037590386937,0.1335457669095,0.00529698014659461
"69","S.LDL.P",0.0784492994831403,0.0281711909840281,0.0232139348556091,0.133684664110672,0.00537721728712553
"70","M.HDL.C",0.078427497545662,0.0281711285582941,0.0231919659946023,0.133663029096722,0.00538989375269339
"71","M.HDL.L",0.078482182046976,0.0281998679070012,0.0231905147196361,0.133773849374316,0.00540481234094602
"72","S.VLDL.FC..",0.0777017215534554,0.0282169574417489,0.0223752379668396,0.133028205140071,0.00591327708489736
"73","S.HDL.FC..",-0.0773434914888715,0.0281287367264322,-0.132494605625668,-0.0221923773520752,0.00598765333031795
"74","M.HDL.P",0.0769071205232162,0.0281974857942414,0.0216201296061776,0.132194111440255,0.00640480113356251
"75","L.LDL.CE",0.0760368391679122,0.0281054690266648,0.0209305850800049,0.131143093255819,0.00684497207689194
"76","L.VLDL.CE..",0.0785287188502631,0.0290293836282579,0.0215815781409369,0.135475859559589,0.00685065051118637
"77","FreeC",0.0744946247031827,0.0281503296082484,0.0193004151958898,0.129688834210476,0.00816274850586928
"78","L.HDL.PL",0.0745205219163526,0.0282829077321658,0.0190653540003516,0.129975689832354,0.00844397218997746
"79","XXL.VLDL.CE..",0.0753987812983905,0.0286679893233291,0.0191819676663627,0.131615594930418,0.0085642089878843
"80","L.LDL.PL..",-0.073122303174103,0.028144519218199,-0.128305308767252,-0.0179392975809537,0.00940140839641684
"81","L.VLDL.TG",-0.0731476692688367,0.028288148241711,-0.128614438583997,-0.0176808999536766,0.00974326359542675
"82","Glol",0.0725390875833307,0.0282165855347584,0.0172138085011146,0.127864366665547,0.0101749702220632
"83","M.HDL.CE",0.0723550589343719,0.0281604456423136,0.0171404847155552,0.127569633153189,0.0102164231010056
"84","XS.VLDL.C",0.0720445133594534,0.0282126096241344,0.0167278689001448,0.127361157818762,0.0106899091076903
"85","M.VLDL.TG",-0.0705007537810281,0.0281717899778633,-0.125739012653076,-0.0152624949089802,0.0123623580053917
"86","XL.HDL.TG..",-0.0707067839459463,0.0282613342142656,-0.126118671420136,-0.0152948964717567,0.012384705400109
"87","S.HDL.TG..",-0.070296724699829,0.0281794409680149,-0.125549763743801,-0.0150436856558568,0.0126413815018819
"88","VLDL.TG",-0.0693620705336876,0.0281669682520443,-0.124590853110772,-0.0141332879566029,0.0138292101394516
"89","L.VLDL.P",-0.0695488491877809,0.0282963240706784,-0.125031714429867,-0.0140659839456944,0.0140099415035537
"90","Glc",-0.06860688100852,0.0280974249456561,-0.1236971560164,-0.0135166060006398,0.0146505751198364
"91","IDL.PL..",0.0681769846236486,0.0280128966291592,0.0132531522655199,0.123100816981777,0.014977021769603
"92","IDL.CE",0.068425483073606,0.0281164001988969,0.0132978147986144,0.123553151348598,0.0149820278518381
"93","L.VLDL.L",-0.0684279835060246,0.028299131096129,-0.123916392069026,-0.0129395749430227,0.0156406611027929
"94","bOHBut",0.0689079671199273,0.0288042454605274,0.0124281687621112,0.125387765477743,0.0167812988900176
"95","XL.VLDL.TG",-0.068151391119136,0.0285764498648469,-0.124183888029863,-0.012118894208409,0.0171228674898156
"96","S.LDL.FC..",-0.0669128755261333,0.028162808335365,-0.12213183223493,-0.0116939188173367,0.0175420569721774
"97","XL.HDL.C..",-0.0652815704654245,0.0280918686869444,-0.120361040049501,-0.010202100881348,0.0201726509938075
"98","XL.VLDL.P",-0.0654741337424032,0.0285835032288091,-0.121520501486236,-0.00942776599857006,0.0220276826169817
"99","M.VLDL.P",-0.0636531678025473,0.0281788085820097,-0.118905263018777,-0.00840107258631785,0.0239320687988094
"100","XL.HDL.TG",-0.0637637303039538,0.0282277703508399,-0.119109976358864,-0.00841748424904406,0.0239322104522274
"101","XL.VLDL.L",-0.0645185609983474,0.0285844867576076,-0.12056685552357,-0.00847026647312509,0.0240449610822045
"102","XS.VLDL.CE",0.0635516735466918,0.0282189390341838,0.00822269994021464,0.118880647153169,0.0243592993525631
"103","M.LDL.PL",0.063375487079933,0.0281576214855288,0.00816618122983302,0.118584792930033,0.0244450698399085
"104","S.VLDL.PL..",0.0634300129782813,0.0283170428982317,0.00790816327909063,0.118951862677472,0.025134749310059
"105","L.VLDL.PL",-0.0633126101226845,0.028299210448978,-0.118801344850678,-0.00782387539469118,0.025313562938713
"106","L.LDL.C..",0.0628649714818317,0.028140674438424,0.00769106794782902,0.118038875015834,0.0255298463919847
"107","XL.HDL.CE..",-0.0627583033299676,0.0281286149132969,-0.117910725485267,-0.00760588117466797,0.0257171267104531
"108","Serum.TG",-0.0624522877944924,0.0281577824928202,-0.117662847398862,-0.00724172819012253,0.0266033390974923
"109","L.HDL.FC",0.0625482766312301,0.0282482181335863,0.00716169240273621,0.117934860859724,0.0268572667759231
"110","M.VLDL.L",-0.0622517954217405,0.028181460070802,-0.117509093709129,-0.00699449713435175,0.0272220907773085
"111","LA.FA",0.0618445780913243,0.0282212494699794,0.00651084346255185,0.117178312720097,0.028467232762187
"112","L.HDL.P",0.0616985090910549,0.0282996270665068,0.00621022186385356,0.117186796318256,0.0292899099266702
"113","XS.VLDL.L",0.061518702166691,0.0282317898378482,0.00616350108700098,0.116873903246381,0.0293735702946628
"114","L.HDL.L",0.0613332571980138,0.0282983528571131,0.00584750270467368,0.116819011691354,0.0302529190998581
"115","SM",0.0610197844691837,0.0282589123764937,0.0056132329289796,0.116426336009388,0.0308731794650317
"116","ApoA1",0.0607691274859675,0.0282478998048596,0.00538266705209779,0.116155587919837,0.0315015664727615
"117","XL.VLDL.CE",-0.0610910863010636,0.028586234914641,-0.117142017399423,-0.00504015520270381,0.0326412705541411
"118","M.VLDL.FC",-0.0598442374542779,0.0281939740484074,-0.115126121526973,-0.00456235338158256,0.0338369146773609
"119","L.VLDL.FC",-0.0593286091626727,0.0283266421270252,-0.114871707139863,-0.00378551118548216,0.0362706727240814
"120","L.LDL.FC..",0.0578260339317432,0.0280031584560901,0.0029186599148143,0.112733407948672,0.0389757380373223
"121","M.LDL.TG",0.0583264020696303,0.0283086974017732,0.00281948916200403,0.113833314977257,0.0394145217806518
"122","XXL.VLDL.FC",-0.0593654653326052,0.0289226286619036,-0.11607930235355,-0.00265162831166085,0.0401696447957327
"123","L.HDL.PL..",0.0578838210986485,0.0282681175710931,0.00245626471107649,0.113311377486221,0.0406442230168462
"124","L.VLDL.C",-0.0580059073189843,0.0283659446673632,-0.113626533767519,-0.00238528087044972,0.0409157773500239
"125","S.LDL.PL",0.0574588713255198,0.0281510335614419,0.00226245086562337,0.112655291785416,0.0412937767419203
"126","L.HDL.CE..",-0.0571622938406627,0.0282785129408906,-0.112607513968234,-0.00171707371309109,0.0432910498786943
"127","M.VLDL.PL",-0.0568363245651267,0.0281780992192439,-0.112087135273754,-0.0015855138564993,0.0437444088481705
"128","IDL.TG..",-0.056501212461511,0.0280415709367127,-0.111481492888303,-0.00152093203471872,0.0439673082091067
"129","L.VLDL.PL..",0.0566680067415896,0.0283945222134119,0.000990303988321395,0.112345709494858,0.0460168457102951
"130","L.HDL.FC..",0.0560840737636455,0.0281107455515485,0.000969479233688418,0.111198668293603,0.0460847843986621
"131","L.LDL.TG",0.0561018528453138,0.028276406618299,0.00065842696436394,0.111545278726264,0.0473042986386961
"132","XXL.VLDL.P",-0.0573118651999838,0.0288987521876214,-0.113979002442957,-0.000644727957011003,0.0474029405625851
"133","XXL.VLDL.L",-0.0571998645230955,0.0289033904961218,-0.113876092961095,-0.000523636085095536,0.0478732598037008
"134","XL.VLDL.C",-0.0562235074246399,0.0285918952111869,-0.112285796565821,-0.000161218283458935,0.0493076727305716
"135","XS.VLDL.P",0.0543438753011626,0.0282400926316681,-0.00102784404596773,0.109715594648293,0.0543667737309486
"136","S.VLDL.TG",-0.0537989370257319,0.0282124480540014,-0.109117137266256,0.00151926321479163,0.0565875391698472
"137","XXL.VLDL.PL",-0.0537554793664024,0.0289279859763174,-0.110477904838754,0.00296694610594948,0.0631948920004166
"138","XXL.VLDL.TG",-0.0535079075672186,0.0288382211180404,-0.11005670571683,0.00304089058239269,0.0635935409143805
"139","Crea",0.052135762180729,0.0281070622412872,-0.00297405255862397,0.107245576920082,0.063669250777375
"140","MUFA.FA",-0.0522774846706583,0.0282373626169406,-0.107643866780906,0.00308889743958898,0.0641765980940452
"141","M.LDL.TG..",-0.051621552779538,0.0280448718922521,-0.106609436588593,0.00336633102951683,0.0657278315306213
"142","L.VLDL.CE",-0.0518517762855859,0.0284303998039028,-0.107600690870989,0.00389713829981714,0.0682399611342309
"143","XS.VLDL.C..",0.0504459320595937,0.0281470364138869,-0.00474159762127046,0.105633461740458,0.0731563136379179
"144","L.HDL.C",0.0500442909373777,0.0283049511901552,-0.00545436483474163,0.105542946709497,0.0771150383000484
"145","M.HDL.C..",0.0490818500354628,0.0281010089222482,-0.00601750447180015,0.104181204542726,0.0807638574207476
"146","XXL.VLDL.C..",0.0504739241354682,0.0289375759270482,-0.00626934081927567,0.107217189090212,0.0811826380499176
"147","XL.VLDL.PL",-0.047761708358254,0.0285715080966688,-0.103785061474108,0.00826164475760003,0.0946567878823902
"148","L.LDL.TG..",-0.0465967608222537,0.0280315206199191,-0.101557736921365,0.00836421527685752,0.0965151534158064
"149","L.HDL.CE",0.0468900639324116,0.0283146216886021,-0.00862768718901522,0.102407815053838,0.0977769308657156
"150","XL.HDL.PL",0.0462263928857802,0.0282020334870787,-0.00907073960501276,0.101523525376573,0.101251737934713
"151","DHA.FA",0.0457765640077529,0.0280936653443853,-0.00930789384989648,0.100861021865402,0.103285420906391
"152","M.VLDL.C",-0.0452485748012725,0.0282116187970307,-0.10056486154513,0.0100677119425849,0.108799121856698
"153","Gln",0.0450227543685104,0.028352969891713,-0.0105705009888249,0.100616009725846,0.11236326811759
"154","S.HDL.FC",0.0445743009986802,0.0281845962912488,-0.010686766233681,0.0998353682310415,0.113823685037261
"155","XL.VLDL.FC",-0.0445117241417344,0.0285866436938998,-0.10056418320853,0.0115407349250607,0.119516398444588
"156","L.VLDL.TG..",-0.044342530857614,0.0284826698840982,-0.100192317922346,0.0115072562071182,0.119575533836347
"157","LDL.TG",0.0439786155578043,0.0282760188413538,-0.011464185820032,0.0994214169356407,0.119929700520962
"158","XXL.VLDL.C",-0.0444551745932442,0.0289536546411807,-0.101230948072562,0.012320598886074,0.124754243731323
"159","FAw6",0.0431048356576912,0.0281907066799684,-0.012169435651035,0.0983791069664173,0.126316425027446
"160","S.HDL.TG",-0.0426039294416947,0.0282017038514617,-0.0979013695599701,0.0126935106765807,0.130931180851038
"161","IDL.C..",0.0407523962473553,0.0280150703768528,-0.0141748554213646,0.0956796479160752,0.145825880754693
